2017-03-22 14:54:10.268 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/to/{url}]}" onto public java.lang.String com.maizhong.portal.controller.TestController.test(java.lang.String)
2017-03-22 14:54:10.268 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.TestController.test()
2017-03-22 14:54:10.325 [localhost-startStop-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-03-22 14:54:10.790 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:54:09 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:54:10.854 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:54:09 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:54:10.963 [localhost-startStop-1] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-03-22 14:54:10.989 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization completed in 1098 ms
2017-03-22 14:54:29.576 [http-bio-8080-exec-9] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/s.html] in DispatcherServlet with name 'maizhong-portal'
2017-03-22 14:56:44.287 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-22 14:56:44.377 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Mar 22 14:56:44 CST 2017]; root of context hierarchy
2017-03-22 14:56:44.425 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-03-22 14:56:44.777 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/C:/Users/Xushd/IdeaProjects/MaiZhong/Portal/target/classes/resource/resource.properties]
2017-03-22 14:56:44.784 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:56:44.834 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 544 ms
2017-03-22 14:56:44.898 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization started
2017-03-22 14:56:44.901 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:56:44 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:56:44.902 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-03-22 14:56:45.103 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:56:45.283 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doPhoneLink],methods=[POST]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.ActionController.doPhoneLink(java.lang.String)
2017-03-22 14:56:45.284 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
2017-03-22 14:56:45.284 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/help]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.help(org.springframework.ui.Model)
2017-03-22 14:56:45.284 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedback(org.springframework.ui.Model)
2017-03-22 14:56:45.284 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/joinus]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.joinus(org.springframework.ui.Model)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/about]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.about(org.springframework.ui.Model)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sale]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.sale(org.springframework.ui.Model)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news.html]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.news(java.lang.Long)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback/post]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedbackForm(com.maizhong.pojo.TbFeedback,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/info]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.searchIndex(com.maizhong.common.dto.PageSearchParam,org.springframework.ui.Model)
2017-03-22 14:56:45.285 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/car]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.carlist()
2017-03-22 14:56:45.286 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/to/{url}]}" onto public java.lang.String com.maizhong.portal.controller.TestController.test(java.lang.String)
2017-03-22 14:56:45.290 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.TestController.test()
2017-03-22 14:56:45.355 [localhost-startStop-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-03-22 14:56:45.888 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:56:44 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:56:45.943 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Wed Mar 22 14:56:44 CST 2017]; parent: Root WebApplicationContext
2017-03-22 14:56:46.052 [localhost-startStop-1] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-03-22 14:56:46.079 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization completed in 1181 ms
2017-03-22 15:01:45.477 [http-bio-8080-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/search.html] in DispatcherServlet with name 'maizhong-portal'
